[20250116_165214] Server running in DEBUG mode.
[20250116_165214] Server started
[20250116_165217] Read Event
[20250116_165217] Client accepted : 7
Connected through port : 8080
Through host : localhost:8080
[20250116_165217] Read Event
[20250116_165217] Bytes read: 536
[20250116_165217] Process Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
[20250116_165217] Read Event
