[20250129_140348] Server running in DEBUG mode.
[20250129_140348] Server started
[20250129_140354] Read Event
[20250129_140354] Client accepted : 7
Connected through port : 8080
Through host : localhost:8080
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] METHOD IS : POST
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] File event
[20250129_140354] Writing into file...
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] File event
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140354] Read Event
[20250129_140354] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] File event
[20250129_140355] Writing into file...
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] File event
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
[20250129_140355] Read Event
[20250129_140355] From client
