[20250116_165250] Server running in DEBUG mode.
[20250116_165250] Server started
[20250116_165253] Read Event
[20250116_165253] Client accepted : 7
Connected through port : 8080
Through host : localhost:8080
[20250116_165253] Read Event
[20250116_165253] Bytes read: 514
[20250116_165253] Read Event
[20250116_165253] Bytes read: 22
[20250116_165253] Process Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
[20250116_165253] Read Event
